user_id,user_name,tweet_id,tweet_text
1352047496927866880,CryptoShrek_,1530252719096594432,🔥 MEGA #GIVEAWAY 🔥\n\n Prizes:\n🏆 5x Loonbirds #NFT ~ $1200 💵\n🏆 5x $50 $ETH ~ $250 💵\n🏅 25x WL spots\n\n❕ Rules:\n1⃣ Follow @loonbirds_xyz \n2⃣ Like &amp; Retweet\n3⃣ Join Discord: https://t.co/gxGpE6OM24\n4️⃣ Tag 3 friends\n\n⏰ 48 Hrs. #NFTs #NFTGiveaway #NFTGiveaways #NFTCommunity https://t.co/zQg5ESYa8Q
1158361807725006848,Bitcoinbro10,1535366985806061568,$150 || RT || 24hrs 🌴🤸\n\n $50 •  Follow @elfmferswtf\n\n$100 bonus if you mint 1 nft w/proof \nMint is only $5 ⬇️\n\nhttps://t.co/U6GdFjy6yh https://t.co/My9MMkjTIH
1235298084462219264,TwizzNFT,1513561671633190919,MINT is live at https://t.co/HgkvmtFhtB\n\n🎁 2 x $250 in ETH\n\nTo enter:\n\nFollow @shinobibunnynft\nLike, RT and tag 3 friends\n\n48 hours! 🎉\n\n#NFT #NFTCommunity https://t.co/07WDbVjzR3
968062526,CryptoBoostMe,1535515708079104001,$75 || 1,05 JT in 5 HOURS \n\nRT &amp; Follow @CryptoBoostMe
1443976933675397127,Mailuvss_,1535551294353854464,$10 | 135.000 IDR — 4 hrs \n\n– like, retweet &amp; follow @RosaCryptoGems
326622252,RedHuskai,1535611338839433217,$50 ! Ends in  8 Hours \n\n♦️RT &amp; Follow @NboxOfficial\n\n♦️ Join https://t.co/4QdvxQnOi3\n\nProof
1371870686445072384,GiveawayInspect,1534060722711597061,$100 #Giveaway to 10 Random persons in 48 hours:\n🔹Follow @Steliafinance &amp; me\n🔹Join TG: https://t.co/iWP6y02VMj\n🔹Like &amp; Retweet this tweet &amp; tag 3 friends &amp; comment screenshot proof of tasks\n\nwinners will be contacted!\n\n#Giveaways #GiveawayInspector
2541402348,GinieCrypto,1535479167109763072,$250 | 3.500.000 IDR | 48 HOURS\n\n($100)\n- RT &amp; Follow @stake_share\n\n(+$150 Bonus)\n- Join Discord (Post Proof)\nhttps://t.co/kioAlUHNH0
467527154,isabellaaabrown,1529109996344164354,The one that started it all!\n\n🚨$50 and 5 WL spots in 24 hrs🚨\n\n✅RT &amp; Follow @potpetsnft \n#NFTCommunity https://t.co/7rZ84weGzO
3293454098,bordong2,1535308054001881088,$100 in 14 Hours\n\nRT + Like/Rt  @marnie 📌
311003007,gemhostofficial,1535340788150075392,$100 | 1,4 JT ~ ends in 24 hours \n\n• RT + Follow @poodletoken\n\n• Like/RT their 📌
1170994730643017729,alphashilla,1535320619289542656,$200 Giveaway | 48 HOURS 🔥\n\n- RT &amp; Join Discord (verify)\n\nDC: https://t.co/m775Exri4U https://t.co/EJeQBnpa6O
2541354078,DigitalJpeg,1524421128508346369,$100 12 hrs\n\nretweet + follow me [ 🔔 ]
1187027050340798466,CryptoRhum,1479421773787582466,$150 | 2.1 JT ~ 24 Hours\n\nRT &amp; Follow @CryptoMaxine
1415324327113805830,SophieLee48,1521990171603865600,Myria is a blockchain gaming ecosystem built on their own Myria L2 scaling solutions. \n\nGiveaway of $500 for 5 winners!\n\n1. Join https://t.co/Bugou8H0U0\n2. RT + tag friends + like\n3. Follow @myriagames\n\nPost proof!\nWinners will be drawn in 72 hours!
1319599222186897408,nft__community_,1516831095014100994,🎁 #NFTGiveaway 🎁\n\n🏆Prize:\n• 1x Kimiko #NFT (Worth $200) 💸\n\nTo win:\n1️⃣ Follow @NFTKimiko &amp; @HarleyNFT_ \n2️⃣ Retweet &amp; Like\n3️⃣ Tag 3 Friends (Every tag is an extra entry) \n\n🔔 Turn on notifications 🔔\n\n⏳48hrs. Good Luck #NFTCommunity ✨ https://t.co/L0V73xlAjn
1407553049770430466,AreumPromotes,1535201799678066689,$100 || 1.4 JT ~ 36Hrs 🌼\n\nRT like + follow @actual_beans
1446525512541773873,SmartSolana,1530079256868700161,🔥 WHITELIST GIVEAWAY  🔥\n \n2x WL @ShroudedNFT\n2x WL @justape_\n\n🎫 | To Enter:\n1⃣ RT &amp; TAG 3+ friend\n2⃣ Follow Me  \n3️⃣Turn on 🔔 \n\nTime 48 hours ⏰ h https://t.co/I9c44r7OzF
2309934393,cryptattoed,1531604149489516544,$50 💸 12 hours\n\nMust retweet this &amp; follow me and turn my notifications on 🔔
432063042,Profess0rCrypto,1515620154398412802,$200 $ETH • 24 hours \n\n• RT &amp; 🔔\n• RT &amp; like 📌\n• Follow @TwitPrensi
1444243286756036611,DJ_GIVEAWAY2,1535405660241788932,$100 | 1.400.000 IDR | ₱5000 24HRS ⏳\n\n✅ Retweet + Follow @moonracersnft
890774265754267649,SAFACryptoCrew,1497747424470716418,$300 | 4.200.000 IDR OR IPHONE 8 FOR ONE WINNER IN 48 HOURS 🦄\n\n- $150 👉🏻 RT &amp; Follow @Solbox_nft \n\n- $150 Bonus 👉🏻 Join Discord (Post Proof)\nDC: https://t.co/MY7CMOwbWn https://t.co/ibYkz9Z1zC
1005328674,MilaPromot,1509035308343566338,$10 | 140K - 3 HOURS \n\nRT &amp; Follow @LisaProms
1393211404920918030,liapesekbandung,1535591792728735745,🎁$3500 - Giveaway | 24 HOURS🥳!\n\n1️⃣ Follow @Lifestory_App &amp; RT\n2️⃣ Tag 3 friends in the comments\n3️⃣ Follow the participation link⬇️\n👉https://t.co/1MTxWYH26w\n(we verify)\n\n🔴 To increase your chances by x10, check comments below\n#NFTmint #NFTutility #NFTMetaverse #NFT #NFTGIVEAWAY https://t.co/MYU9o1syOr
1092109868,0xChaneL02,1498502332371202052,$50 | 12 hours 💎 \n\n•RT and follow @zaddytoken\n• Join telegram https://t.co/yqsij7SIxX\n\nJoin @zaddytoken for our AMA at 9:30pm est. We have HUGE plans to take us 100x and learn about their HUGE upcoming giveaways. https://t.co/I35M1gKUZj
216580114,GingaBubaCrypto,1533006840132509698,I will focus on collecting and plundering as many resources as possible in #ClashofLilliput.\n\nPlease visit their website: https://t.co/9oWSiVFPWG.\n\n💰$100 in 24 hours \n\n1️⃣Follow @LilliputGames\n2️⃣Like+RT+Tag 3 Friends\n3️⃣Join TG https://t.co/0uNCXAD5E8 &amp; Say the 💪about $COL https://t.co/uEoIAMKGNW
1401406260000460800,LeoPromotes,1535478907050369026,$250 | 3.500.000 IDR | 48 HOURS\n\n($100)\n- RT &amp; Follow @stake_share\n\n(+$150 Bonus)\n- Join Discord (Post Proof)\nhttps://t.co/kioAlUHNH0
3048946786,NFTJacobz,1513232746318995457,MINT is live at https://t.co/cj7Ukdyp7x\n\n🎁 1 x $75 in ETH\n\nTo enter:\n\nFollow @shinobibunnynft\nLike, RT and tag 3 friends\n\n48 hours! 🎉 https://t.co/7ZOwgXxuOF
1571865672,ninasimonic,1533914684675457029,$200 ❤️‍🔥 24 hours\n\n• RT and follow @PrimeXBT ($100)\n• Join Telegram of your language 👇🏻 + proof ($100)\nhttps://t.co/BDH18RklLN
1308441303772872705,DoyoungPromotes,1535597473871597568,$60 • 840K • 12 HRS 💫\n\n- RT + RT &amp; Like quoted tweet below https://t.co/JnKGbYzijd
232929077,MissParisCrypto,1514043723591520256,🔥Giveaway 20$🔥\n\nRACCOON TOWN #Giveaway \n\nAll Raccoon town token holders are entitled to receive 3D tokens from Raccoon city🚀🚀\n\nThe first winner will also get $20!\n\n1️⃣Follow\n@raccoontown_nft\n2️⃣RT&amp;❤️\n3️⃣Tag 3 friends 👫\n\nWinners will be announced here on 48 hours🌟 https://t.co/eVuXulRN0A
178493281,coodazai,1534889857469673474,$50 | 650K IDR • 24 HRS 🎁\n\nRT &amp; Follow @NubbiesNFT &amp; RT 📌
1426403206142173195,wonieegives,1535485646907011073,$20 | 260K IDR ~ 8 HRS \n\n-RT &amp; Follow \n\n@WhosjiNFT \n@whosjiart
3166008431,cryptomeks,1471458544566292486,$50 GIVEAWAY | 24 Hours\n\nFollow @CryptoElwis @BitcoinZamani \n\nRT+FAV
1416152640,MrsunNFT,1531363220417523712,Like and retweet the post down below 👇🏾 for $100 USD 💰\n\nWinner selected in 24 hours\n\nGood luck! 🍀 https://t.co/CEoTDsmbtA
1416351991719104512,nftpixelart_,1509225637814611970,🚨 Whitelist Giveaway 🚨\n\nI have teamed up with @dorks_nft to giveaway $50 &amp; some WL spots to their project! 🔥\n• $50 + 20 DORKLIST SPOTS \n1️⃣RT &amp; Like\n2️⃣Follow ME &amp; @dorks_nft\n3️⃣Join: https://t.co/CvInQ1pVOt\n✔️Winners announced in 24 hrs, GL!\n#NFT #NFTCommunity\n#NFTGiveaway #AD https://t.co/TrjIznX0l0
1125498909181325313,hollow18_,1531082471239991296,🎁 #NFTGiveaway 🎁\n\nMe &amp; Prime Pandas are giving away:\n2x SOL ($100) 💵 \n\n❕ To Enter:\n1️⃣ Follow @PrimePandasNFT\n2️⃣ Like\n3️⃣ Retweet\n\n⏰ Winners will be announced in 24 hours!\n\n#NFTs #NFT #NFTCommunity #NFTProject https://t.co/wMdlW5o5gi
1355079365629980679,FLOATNFTS,1524624965256945664,🚨 MINT  IS TOMORROW 🚨\n🎁 #NFTGiveaway🎁\n🏆Prize\n- 1x $100 USDC\n\nTrain your 👨🏻‍🍳+🐀 NFTs like a tamagotchi to maximize your reward!\n\nTo Enter:\n✅ Follow  @RatAlertNFT\n✅ Like + RT + Tag 3 friends\n⭐️ Bonus: Join https://t.co/xcjSfvrDMF \n\n⏰ 24hrs 🔔 ON\n\n#NFT #NFTCommunity #P2E https://t.co/cgKRifZiP0
851102799899181056,Crypto_Hawkk,1535536399486619649,$200 || 2,8 JT  in 48 hours ⌛️🍕\n\n$100\n• RT &amp; Follow @Bybit_Official\n\n+$100\n•• RT Quote below 👇 https://t.co/TXH5gbzg24
957459743173263360,MesiPromotes_,1535159186337964032,$10 || 136k IDR in 2 HRS 〽️\n\nRT &amp; Follow @Amin_CHTR
458866138,NasBitcoin,1532311954764640256,$100 in 24 Hrs \n\n$50 ✅RT This &amp; Follow @BigTownChef \n\n$50 ✅Join DC : https://t.co/ZgOU0yTzv7\n\nBig Town Chef mint starting 7th June:\n✅ BURP Token launched\n✅ Major Partners &amp; Investors\n✅ Polygon studios partnership\n✅ 5 gaming partners\n\n#NFT #FreeNFT #NFTs #NFTGiveaways https://t.co/SWMyhyY98I
984860246634934272,MazeWandaX,1531566868908998656,$100 GIVEAWAY in 24 hours ⛵️\n\n• RT, Follow me and accounts below 👇🏻 \n@CCASHCitizen \n@qorpomarket
1394475795498684417,Giveaway__Whale,1522514992477589505,I will be giving $1000 in #Bitcoin to 10 people in next 48hrs. Just retweet and be following me so I can pm you.
1406588476900876288,Lunargives,1535443856183152641,$50 - 10 HOURS⌛ \n\n- RT + Follow @CubeDaily_ &amp; RT Like📌
76926772,CryptoPad100x,1535293366577299456,$200 ❤️ 48 hours\n\nRT + follow @NFTGirl99
1564490666,TokyooNFT,1513405206184312838,🎁GIVEAWAY!🎁\n\nPrizes: \n🏆.5 $ETH ($1590)\n\nMust: \n1⃣Follow \n@TokyooNFT \n\n2⃣RT + LIKE\n3⃣Tag 3 friends  \n4️⃣Turn post noti’s on! (Im checking)\n\n1 winner!\n\n48 HRs ⌛️ #Giveaway #btc #crypto #eth #Solana #NFTGiveaway #NFTCommunity #NFT #Notigang #Giveaways  #ETHGiveaway
931365220504633344,JpegGems1,1499971942648287232,Over $2000 worth of prizes to be won!🚀\n\n5 Winners🎖️\n10 Metaseed NFTs🌱\n$500 Cash💰\n\nEvent ends in 48 hrs! \n\nEnter Gleam here👇\nhttps://t.co/Tl57xhE7MB\n\n#NFTGiveaway #NFTCommunity #NFT #Play2Earn #PlayToEarn #Metaverse #MetaverseNFT
1429656039826333696,TRONIXeth,1522032177331978240,🎁BIG #NFTGiveaway 🎁\n🏆Prizes\n- $100 USDC\n- 50 WL SPOTS\n\nMint date is May 12!\n\nTo Enter:\n✅ Follow @RatAlertNFT\n✅ Like + RT + Tag 3 friends\n⭐️ Bonus: Join https://t.co/xcjSfvrDMF\n\n⏰ 24hrs 🔔 ON\nKYC: @AssureDefi, Audit: @CertiKTech\n#NFT #whitelist #nftdrop #nftcollector https://t.co/WYn4spn38m
1479321583156088835,jejje113,1535542321848131586,$20 | 280K | 4 HOURS🌻\n\n- RT &amp; RT LIKE @Dothaking  📌
1414254109251801092,PlasmaCrypto,1534890446903721984,🎁Astronix 150$ giveaway🎁\n\nTo participate:\n1️⃣Follow @astronix_online\n2️⃣Join our Discord server - https://t.co/jWbqafX9fo\n3️⃣Retweet this giveaway post\n4️⃣Tag at least 3 friends in comments!\n\n🏆3 people will receive $50 each\n⌛48 hours \n\n#Astronix #Giveaway #NFT #Cryptogiveaway https://t.co/IhFBWcmMir
1335243191180800000,traderoctopus,1513532155690950658,🎉#NFTGIVEAWAY 🎉\n\nhttps://t.co/pG0SSQhtlK\n\n20 WL Spots!!\n\nWizard #NFTs 🤯 | #Metaverse Utility\n\nDiscord Now Open!\n\n✅Entry:\n\n1⃣Follow @nftlootbox + RT Their Pinned\n2⃣Tag 3 Friends\n3⃣Join Discord https://t.co/u9gMurFVfT\n\nWinners Picked in 24 Hours\n\n#WLGiveaways #WLGiveaway https://t.co/YWuflPhKZf
218062002,CryptoBooster_7,1532552574225616896,$150 | 2,100,000 IDR  24 HRS \n\n_ RT &amp; Follow @PrimeXBT &amp; rt this quote tweet below 👇🏻 https://t.co/ceOLjyrOob
817797296779907072,SafeMoonRich,1534889606726012930,$50 in 6 hours\n\nRT, follow me &amp; join TG (show proof): https://t.co/DsBp3uL4oY
1232531253775093760,CRYPTOPROM0S,1501511830665326595,$10 in 6 hrs💸\n\nRT and Follow me!
22326646,LiTOfficiall,1535499808986673152,I will give $50 to one person within the next 8 hours.\n\nJust:\n· RT &amp; Follow me \n· ❤ this tweet
4574226553,GlazeCrypto,1535537192184995841,$30 RT 3 hrs\n\n☑️ Follow @JewelCrypt0
248055550,cryprules,1535535365616193537,$50 | 700.000 IDR ~ 8 HOURS \n\nRT like &amp; Follow me (🔔)
1304501263795515392,bitcoindinos,1535216283230380032,$20 🦖 2 hours.\n\n🔸 RT +  Follow @CryptoJimmybraz \n\n🌴 🦖🌴
1249681227054845954,CalliNFTs,1516714616621268996,$50 ~ 12 Hours\n\n- rt &amp; follow  @AscendEX_India
3306286357,gemhost,1535005532209065984,$25 | 350K ~ ends in 1 hours\n\n• RT + Watch YT video till end ( Reply Proof)\n\nhttps://t.co/J6FuINlkny
1354389133,FatherPromos,1389340320605814793,$100 | one winner | ends in 24 hours\n\nRT, Follow me &amp; @Aerdropofficial \nJoin TG https://t.co/51Nw9TIcek\n\nGood Luck💙 https://t.co/bBUuPH6wzC
925562469719740416,Cryptinna,1529917092400549888,$50 - 6 HOURS\n\n1⃣ RT/Like &amp; Follow @CGClubNFT\n2⃣ Join https://t.co/eQV0R2YsLs\n\n💎 Crystal Garden Club is an #NFT collection on the #Ethereum #blockchain.\n\n🖼️ Supply : 2,222 #NFTs\n🗓️ Mint date : June\n\n #Giveaway #solana #ETH $ETH #NFTGiveaway #BNB #NFTGiveaways #Tezos #Crypto #BTC https://t.co/UenTB6Zpjr
1496567540696469507,Kxthify,1533154249563152386,🚨GOBLINTOWN $12,000 GIVEAWAY🚨\n\n@troll_town_wtf mints in 24 hours &amp; is giving away 1 Goblintown NFT worth over $12,000\n\nTo win\n1️⃣ Follow @troll_town_wtf &amp; RT Their Pinned\n2️⃣❤️ + RT + Tag 3 here\n3️⃣ Mint 1 free @troll_town_wtf on launch\n\n#NFT #Freemint #Crypto #cryptocurrency\n\n#ad https://t.co/X5i7edsAgV
827515712101089280,onecryptogirl,1535604866021588992,$200 in 72 hours ✨\n\n- RT &amp; Complete Coingecko task\n\n1. Go to https://t.co/49vMm1LpU9\n2. Search MoveZ (MOVEZ)\n3. Tap ⭐ &amp; GOOD 😆\n4. Post proof below (no crop) https://t.co/8wGLz2DShd
1269233831455973376,Ralph_NFTBuddy,1530428757336637440,🎁 1 Sol ($50) Giveaway! x 1🎁\nFrom @OkayFoxNFT\n\nHow to participate?\n1️⃣ Follow @Ralph_NFTBuddy\n+ @OkayFoxNFT\n2️⃣ Like + RT\n3️⃣ Tag 3 #NFT Frens\n\n⏳24Hrs\nGood luck ✌️ 🔥\n#SOLgiveaway #SolanaNFTs #SolanaGiveaways https://t.co/NbpCGmodwN
1126216778152071168,NftsWind,1534240392123625473,🚨 REVEAL IS HERE!🚨 \n\nBuy 1 Trolltown within 24 hours of reveal to get a fractionalized Mutant BAYC worth $32,000 🤯🚀\n\nTO GET IT:\n⭐ BUY 1 TROLL\n⭐ ❤️ + RT + tag a friend\n⭐ Rt @troll_town_wtf pin and follow them\n\nBuy NOW 👇\n➡️ https://t.co/UnV6KmAqee\n\n#NFT #crypto #NFTGiveaway
1265670911715233794,angel_funsized,1535245398343929857,$60 | 12 hours\n\nRT + Follow @FinalAyyMG\n\nRT/Join their 📌
31992855,2motivate,1534381603887230976,🚨 REVEAL IS HERE!🚨 \n\nBuy 1 Trolltown within 24 hours of reveal to get a fractionalized Mutant BAYC worth $32,000 🤯🚀\n\nTO GET IT:\n⭐ BUY 1 TROLL\n⭐ ❤️ + RT + tag a friend\n⭐ Rt @troll_town_wtf pin and follow them\n\nBuy NOW 👇\n➡️ https://t.co/UnV6KmAqee\n\n#NFT #crypto #NFTGiveaway
1279077091149922306,CryptoCallista,1535536204002697216,$20 | ₱980 | 270.000 IDR • 6 HRS 💫\n\n- RT + follow @nftelitepass \n- RT their last tweet
1396002979182911490,CryptoQueenDM,1524590517329494017,$30 | 420.000 IDR • 3 HOURS 🎸\n\n- RT this &amp; LIKE @CryptoQueenDM 📌
1389658584196149251,SarahPromotions,1535527925394464768,$100 ~ 24 Hrs 🍒\n\n- RT &amp; Follow @SarahPaid
109498457,bricepromos,1533051712675758080,$100 in 24 hours 👻🌶\n\n-RT + Follow @trondao \n\n-RT/Like Quoted Tweet 👇 https://t.co/QGSfgE8Ipn
1954313480,bravepromote,1535037749270806528,$50 in 6 Hours  Only \n\n- Rt This  \n- Complete task in quoted tweet https://t.co/LQghhg7eOn
1425082829294084102,JayTheGaHost,1535529180636536832,$30 | 420K IDR ~ 6 HOURS\n\n- RT &amp; Join Discord (post proof)\nhttps://t.co/zqIODgrJuz
4583331132,PsyJayCrypto,1535496380327727109,$50 Giving in 6 HOURS \n\n($30)\nRT &amp; Follow @Cube0x\n\n($20)\nJoin TG https://t.co/AcnBlRyuOM &amp; Complete airdrop task. https://t.co/DDiKTQJmQT
1259850119245152257,GridGamingIO,1531662093975441411,I'll give $100 to a random user who retweets this tweet within the next 23 hours, 57 minutes.\n\nMust be following @GridGamingIO &amp; @Hurricane_Mane\n\nContest ID:0161e168
1225278209740152834,MysteryColle,1490747397303148558,💎$50 &amp; x5 WL #GIVEAWAY worth over $5000!💎\n\nWL SPOTS ARE VERY VALUABLE 😍\n\n1️⃣ RT &amp; Follow @ASGB_NFT\n2️⃣ Join Discord and Post Verification\nhttps://t.co/5udHBWB9jp\n\n⌛️ENDS 24hrs!⌛️ #shill #shillme #shillnft #NFTs #NFTCommmunity #ShillerContest https://t.co/tXtUR5rlba
1375101951399067649,TrueGemHunter,1534127206171086849,♥️CHARITY DONATION♥️\n\n😍 Mental Health Charity Donation of $500\n\n🌟Charity must be able to accept Crypto Currency as donation.\n\n⏰ Next 48 hours we will make our decision.\n\n🧠 Charity which gets the most likes/RTs/Comments will be donated to\n\nSpread the word ♥️\n#TheThinker https://t.co/Jt0MUZuzSa
1485602014398926855,HarleyProm_,1518939697518678018,$100 GIVEAWAY IN 24 HOURS\n\n- RT &amp; Follow me + 🔔 (Post Proof)
588626966,xFluxsi,1532776114531274752,$100 | 4 hours\n\nRt &amp; show proof of 🔔
1363765131172220933,HwanniePromotes,1533063570925031424,$100 || 1,4 JT in 8 HOURS \n\nRT &amp; Follow @fabian_crypto + RT Like 📌
235522474,Marksmith1M,1522116799483031552,$10 | 145.000 IDR  – 2 HOURS 🔱\n\n- RT &amp; Follow :  @S_crypto1
2942872475,4dynastyrich,1535572479170727936,$15 | 210.000 IDR - 10 HOURS \n\nLike, RT &amp; Follow Me (🔔)
1458984049041543170,juliahost_,1522574194659143680,📣 GIVEAWAY 📣\n\n🏆 5 x WL\n🏆 1 x FREE Mint (&lt;$300)\n\n1 Collection, 4 Art Styles, 4 Houses ☠️👾🪷⛩, Multiple Utilities, Endless Possibilities. \n\nHow to Win:\n1. Follow @VearthMeta \n2. Like + RT\n3. Tag 2 friends\n\nEnds in 48hrs ⏰ \n\n#nft #NFTGiveaways #nfts #NFTCommunity https://t.co/yJQQ4vFiLi
1402150141684072448,FoxGives,1535479382692741120,$250 | 3.500.000 IDR | 48 HOURS\n\n($100)\n- RT &amp; Follow @stake_share\n\n(+$150 Bonus)\n- Join Discord (Post Proof)\nhttps://t.co/kioAlUHNH0
1260235422082400256,GHOOFYNFT,1503177308701667337,$150 • 8 Hours 🤩\n\nRetweet/Like + Follow me with Notifications 🔔
1023405063253807109,pumpcoinbets,1535320135162109953,$200 Giveaway | 48 HOURS 🔥\n\n- RT &amp; Join Discord (verify)\n\nDC: https://t.co/m775Exri4U https://t.co/EJeQBnpa6O
1377876647425187844,Jopromote,1535540667295727616,$50 | 700.000 IDR💰• 48 HRS\n\n• rt this + rt @pablo_cro📌 \n\n• subscribe (proof): \nhttps://t.co/h1HLEZ7927
1471419131673075713,AliyaCrypto,1533051836659384322,$100 | 1.400.000 IDR | 24 HOURS\n\nRT &amp; Follow @cosmos_heroes
1206028694,ShinaFloria,1534420751692054528,💵​ Win Cash Giveaways worth upto $200! 💵​\n\n🎉​🎁 10 Lucky Winners will get a chance to win cash prizes 🎉​🎁\n\n👉​ Follow @GodsofEgyptNFT\n👍 Like\n🔃​ Retweet\n​👉​​ Tag 3 friends! \n👉 Join our discord community: https://t.co/0mPtObskFA\n\n⌛ 24 hours to enter ⌛
1471873797976309766,promotergr,1532760132278714368,$60 or 840rb Giveaway || 6 hrs 🍊\n\nRT  this + Like &amp; RT @RPGNFT1's📌
795985243773599744,DannyCryptoGA,1518897680990187520,$100 Giving in 24 HOURS\n\nRT &amp; Follow @AlphaKongsClub
711113924238663681,Micopromotes,1535620661611499520,$200 GIVEAWAY \n\n- RT &amp; Download this Apps  https://t.co/nrJMMswXV9\n\nPost proof \n\nend 48 hours 💛\n---------------------------------------------\n\nNote: This Apps is for Indian users only and will get upto ₹1000 (Indian rupees) on downloading, KYC, first trade
1284423554235109378,CyprusCrypto1,1465999118694694914,$100 or 1,4jt  Giveaway || 24hrs\n\nRT + Follow @crypto_idea_lab (🔔)
1156269110545793024,ladyincrypto,1535588892342030336,$300 GIVEAWAY ~ 72 HOURS ⏳️\n\n- RT &amp; Complete Coingecko task (post proof)\n\n1. Go to https://t.co/e5gTJ3HR2Q \n2. Search MOVEZ\n3. Tap ⭐️ &amp; 😆 Good https://t.co/G1qeETN3xf
1387031673229832203,CryptoBarnuts,1535190985986445316,$30 || 1 WINNER || 6 hours\n\n- Join Discord &amp; Verify\n- RT + Post proof\n\nhttps://t.co/UYzfmZEOsq
481066177,SnoopDoggBtc,1535353431912742912,Giving away 4 Trolltown NFTs, floor price is 0.14 ETH ($248) 🎁\n\nTo participate follow &amp; RT ~ 24 hrs ⏰ https://t.co/3VONaENewG
821018730796679168,vibe5viral,1525473805098885120,🚨 MINT IS LIVE NOW 🚨\n🎁 #NFTGiveaway🎁\n🏆Prize\n- 2x Free Mint\n- 1x $50 USDC\n\nTrain your 👨🏻‍🍳+🐀 NFTs like a tamagotchi to maximize your reward! \n\nTo Enter:\n✅ Follow  @RatAlertNFT\n✅ Like + RT + Tag 3 friends\n⭐️ Bonus: Join https://t.co/xcjSfvrDMF  \n\n⏰ 24hrs 🔔 ON\n\n#P2E #NFTs https://t.co/NgDz2RImj2
