,tweet_id, extracted_url, detections,extracted_url
91,1529169502545629187,,,https://wn.nr/2B6TFZ
92,1.5291695022812938e+18,,,
93,1529169502054887424,,,null
94,1529169501421309954,,,null
95,1529169500872007680,,,null
96,1.5291695005533225e+18,,,
97,1529169500209180674,,,null
98,1529169499890454528,,,http://discord.gg/4eEg7YvpWe
99,1529169499236147201,,,null
100,1529169499148386304,,,null
101,1529169498942717952,,,null
102,1529169498431016960,,,null
103,1529169498384633856,,,null
104,1529169498208555008,,,null
105,1529169497634091016,,,null
106,1529169497105440768,,,null
107,1529169497059385349,,,null
108,1529169496627216384,,,null
109,1529169496224813056,,,null
110,1529169496119955458,,,null
111,1529169496048513024,,,null
112,1529169495583248384,,,null
113,1529169495520165889,,,https://magiceden.io/item-details/FSWTvfWdv8KmVweh8Gsc8WkZx3yZS26qspwXF4F3GFZv
114,1.529169495180419e+18,,,
115,1529169495075434496,,,null
116,1529169494530203649,,,https://magiceden.io/item-details/5PmVLRbDqjy9sbRBGupTMoZQRW5E4M1TzBomNqpHCTNn
117,1529169494412644353,,,null
118,1529169492986564609,,,http://opensea.io/ARTARIAN
119,1529169492269735936,,,https://premint.xyz/cryptotanks/
120,1.5291694921730662e+18,,,
121,1.529169491992531e+18,,,
122,1529169491891892224,,,https://opensea.io/collection/nebular-world-s1
123,1529169491468222465,,,https://www.mogulproductions.com/post/mogul-partners-with-arabian-camels-nft-to-help-launch-upcoming-50m-feature-film-antara
124,1529169491183161345,,,null
125,1529169490604609536,,,null
126,1529169490260393984,,,null
127,1529169490117902336,,,https://www.youtube.com/watch?v=ss2-8nzM-P8
128,1.5291694896732078e+18,,,
129,1529169489455095808,,,null
130,1529169488964464641,,,null
131,1529169488796700673,,,null
132,1.5291694884862198e+18,,,
133,1529169487492046851,,,https://linktr.ee/Puli_Token
134,1529169487290847239,,,https://t.me/vibloscommunity
135,1529169487240503297,,,null
136,1.5291694858564854e+18,,,
137,1529169485822844928,,,http://anubexofficial.com/mint
138,1529169485772607488,,,https://rarible.com/token/0xc9154424B823b10579895cCBE442d41b9Abd96Ed:6573967499603184304691659001158883723687512775801131183873240653567363121153
139,1529169485474807809,,,https://www.instagram.com/meta4crafts/
140,1529169485470412800,,,https://www.mogulproductions.com/post/mogul-partners-with-arabian-camels-nft-to-help-launch-upcoming-50m-feature-film-antara
141,1529169485327912962,,,https://linktr.ee/kyuubiglobal
142,1529169483608252417,,,null
143,1529169483109216256,,,null
144,1.529169482786259e+18,,,
145,1529169482643427328,,,https://mint.spacecadetsnft.com
146,1529169482236796928,,,https://jjprints.co.uk/product/order-nft/
147,1529169481687347202,,,https://www.voice.com/creation/100000001088421
148,1529169481628536832,,,https://linktr.ee/RBXSamurai
149,1529169480756383744,,,null
150,1.5291694803450798e+18,,,
151,1529169480311619585,,,null
152,1529169480215314432,,,http://discord.gg/4eEg7YvpWe
153,1529169479485341697,,,null
154,1529169479162134529,,,null
155,1.529169478734463e+18,,,
156,1529169478461714433,,,null
157,1529169477996249088,,,https://discord.gg/aCh9sXFP
158,1529169477795196928,,,null
159,1529169477715124224,,,null
160,1.5291694776942756e+18,,,
161,1.5291694768345375e+18,,,
162,1.529169476604035e+18,,,
163,1529169476482125825,,,null
164,1529169476192817153,,,null
165,1529169476050161667,,,https://t.me/Airdrop/3655
166,1529169475886522369,,,https://galaxy.eco/MOVE/
167,1529169475706179585,,,http://teia.art/objkt/737968
168,1529169474842152960,,,null
169,1529169474703831045,,,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/38013765516452623852852726919076799923985576008222476011204308722848374980609/
170,1529169474284314630,,,null
171,1529169473562939393,,,null
172,1529169473017626625,,,null
173,1529169472502009857,,,null
174,1529169472375992320,,,null
175,1529169471855681536,,,https://t.me/upromiseme
176,1529169471637708801,,,null
177,1.5291694714950205e+18,,,
178,1529169470966665218,,,null
179,1529169470643650561,,,https://app.hotcross.com/iho
180,1529169470542950400,,,https://opensea.io/collection/3dbrunoclub
181,1529169470207545345,,,null
182,1529169470157377536,,,null
183,1529169470018682882,,,null
184,1.529169469943255e+18,,,
185,1529169469808881664,,,null
186,1529169469309960194,,,null
187,1529169469280759808,,,null
188,1529169469091741705,,,null
189,1529169468944941058,,,null
190,1529169468332580865,,,null
191,1529169468240416769,,,null
192,1529169468118679554,,,https://foundation.app/@gaeldk
193,1529169467736981505,,,https://wizardia.io/ref=jtdusxqbk7
194,1529169467246272520,,,null
195,1529169467166846976,,,https://opensea.io/collection/mazeverse-official
196,1529169466852098048,,,null
197,1529169466331959299,,,null
198,1529169465014747136,,,https://paras.id/collection/baby-village-by-babyandbunnynear
199,1529169464914513920,,,https://discord.com/invite/lootadog
